action_type,assay_chembl_id,assay_type,bao_endpoint,bao_format,bao_label,molecule_chembl_id,parent_molecule_chembl_id,record_id,src_id,standard_flag,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,cleaned_smiles,InChIkey,IC50,PIC50
,CHEMBL636834,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL1203537,CHEMBL433521,301749,1,1,=,IC50,nM,830.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CNC(NCCNCc1ccc(CN2CCCCC2)o1)=C(C#N)C#N,BIYMBWOGRIMVGC-UHFFFAOYSA-N,830.0,6.08092
,CHEMBL636834,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL345849,CHEMBL345849,301743,1,1,=,IC50,nM,390.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCC(O)CC2)o1,JHBKIQPZUOVPJP-UHFFFAOYSA-N,390.0,6.40894
,CHEMBL636834,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL154689,CHEMBL154689,301731,1,1,=,IC50,nM,390.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CN(C)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,YQWKSZPFQPPLDB-UHFFFAOYSA-N,390.0,6.40894
,CHEMBL636834,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL346733,CHEMBL346733,301759,1,1,=,IC50,nM,430.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CCN(C)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,NPDBRPLRDKQUMC-UHFFFAOYSA-N,430.0,6.36653
,CHEMBL636834,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL1203539,CHEMBL346576,301760,1,1,=,IC50,nM,600.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CCN(CC)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,RRFNSBXPESKQGR-UHFFFAOYSA-N,600.0,6.22185
,CHEMBL645001,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL433041,CHEMBL433041,112502,1,1,=,IC50,nM,290.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,RRGMXBQMCUKRLH-CTNGQTDRSA-N,290.0,7.308095
,CHEMBL645000,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL292788,CHEMBL292788,112498,1,1,=,IC50,nM,700.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CN1CC[C@@]2(C)c3cc(OC(=O)NCCN4CCOCC4)ccc3N(C)[C@@H]12,BRGIXRNTFOXZKF-QUCCMNQESA-N,700.0,6.1549
,CHEMBL636834,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL155392,CHEMBL155392,301752,1,1,=,IC50,nM,630.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CNC(NCCNCc1ccc(CN(C)C)o1)=C(C#N)C#N,PLQWDBQURPIPGP-UHFFFAOYSA-N,630.0,6.20066
,CHEMBL636834,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL153311,CHEMBL153311,301751,1,1,=,IC50,nM,2100.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CNC(NCCNCc1ccc(CN(C(C)C)C(C)C)o1)=C(C#N)C#N,FDEMXMQQXDTVQU-UHFFFAOYSA-N,2100.0,5.67778
,CHEMBL636834,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL154263,CHEMBL154263,301733,1,1,=,IC50,nM,290.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CC1CCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)CC1,HYRWJXSSFVSUQH-UHFFFAOYSA-N,290.0,6.5376
,CHEMBL645001,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL62664,CHEMBL62664,112504,1,1,=,IC50,nM,40.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,LKBQETKGWDWQQB-PXJZQJOASA-N,40.0,7.39794
,CHEMBL636834,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL155111,CHEMBL155111,301757,1,1,=,IC50,nM,80.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCC2)o1,XLRRYRJJRDMOHP-UHFFFAOYSA-N,80.0,7.09691
,CHEMBL636834,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL1203534,CHEMBL348050,301739,1,1,=,IC50,nM,95.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CC=CCC2)o1,KTMHWIASCVHJMZ-UHFFFAOYSA-N,95.0,7.02228
,CHEMBL645001,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL64011,CHEMBL64011,112500,1,1,=,IC50,nM,60.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,XYIGEYHRXKWSPJ-VPUSJEBWSA-N,60.0,7.22185
,CHEMBL645001,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL65585,CHEMBL65585,112503,1,1,=,IC50,nM,70.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,HEEOMQHFUSVLEM-DGPALRBDSA-N,70.0,7.1549
,CHEMBL636834,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL347539,CHEMBL347539,301750,1,1,=,IC50,nM,280.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CNC(NCCNCc1ccc(CN2CCCC2)o1)=C(C#N)C#N,GVHHPMZWUWYOJH-UHFFFAOYSA-N,280.0,6.55284
,CHEMBL636834,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL157208,CHEMBL157208,301755,1,1,=,IC50,nM,1500.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCSCC2)o1,KABXIVJJYZKNDV-UHFFFAOYSA-N,1500.0,5.82391
,CHEMBL636834,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL1790041,CHEMBL1790041,301753,1,1,=,IC50,nM,650.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,VMXUWOKSQNHOCA-UHFFFAOYSA-N,650.0,5.91268
